artist_index,artist_id,artist_name,track_id,vocal_segments
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRWMWSV128F145C3D3,"[19.5, 21.0, 22.5, 24.0, 25.5, 27.0, 28.5, 30.0, 31.5, 33.0]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRVKHRK128F145C3DB,"[0.0, 1.5, 3.0, 4.5, 6.0, 9.0, 10.5, 25.5, 27.0, 31.5]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRGCDZU128F14ADD9C,"[9.0, 10.5, 12.0, 13.5, 21.0, 30.0, 31.5, 33.0, 42.0, 43.5]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRGXOVI128F14ADD98,"[21.0, 22.5, 24.0, 25.5, 27.0, 28.5, 30.0, 31.5, 33.0, 34.5]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRBPDOU128F14ADD94,"[1.5, 10.5, 19.5, 21.0, 28.5, 36.0, 42.0, 43.5, 45.0, 52.5]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRAWPZG128F14ADDA1,"[21.0, 22.5, 24.0, 25.5, 27.0, 28.5, 30.0, 31.5, 33.0, 34.5]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRRMSHS128F145C3D7,"[15.0, 28.5, 30.0, 31.5, 34.5, 36.0, 37.5, 39.0, 42.0, 43.5]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRQGFYE128F145C3D6,"[13.5, 19.5, 21.0, 22.5, 28.5, 31.5, 33.0, 34.5, 36.0, 37.5]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TROLRTL128F14ADD9E,"[7.5, 13.5, 18.0, 19.5, 21.0, 22.5, 28.5, 33.0, 34.5, 36.0]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRYIIJA128F14ADD99,"[19.5, 21.0, 22.5, 24.0, 25.5, 27.0, 28.5, 30.0, 31.5, 33.0]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRFDZOW128F145C3DC,"[13.5, 15.0, 21.0, 25.5, 27.0, 34.5, 42.0, 43.5, 45.0, 48.0]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRTNLEZ128F145C3DA,"[18.0, 19.5, 21.0, 25.5, 27.0, 28.5, 30.0, 34.5, 36.0, 37.5]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRHOQRK128F145C3CE,"[7.5, 9.0, 28.5, 30.0, 31.5, 33.0, 34.5, 36.0, 37.5, 39.0]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRGWMRH128F145C3D8,"[12.0, 13.5, 18.0, 19.5, 21.0, 27.0, 28.5, 33.0, 34.5, 36.0]"
0,AR6OEO01187B99A5E8,"Tunnel Rats
",TRTRHRX128F14ADD95,"[25.5, 27.0, 28.5, 30.0, 31.5, 33.0, 34.5, 36.0, 39.0, 40.5]"
